DiffWords,DiffPopularity,DiffAcousticness,DiffDanceability,DiffEnergy,DiffInstrumentalness,DiffLiveness,DiffLoudness,DiffSpeechiness,DiffValence,DiffTempo,DiffSwearCount,DiffSentimentAverage
"['(all' '(everybody)' '(oh' '(oh,' '(she' '(yesterday)' '1]' '2]' '3]'
 '[chorus]' '[intro]' '[outro]' '[verse' 'do,' 'loves' 'now)' 'say,'
 'yeah)' 'yeah,' 'yesterday)' 'you,']",55,0.3355,0.2579999999999999,0.31000000000000005,9.200000000000001e-05,0.0753,0.38599999999999834,0.0009999999999999974,0.11599999999999999,2.573999999999998,0,0.2804845461833082
"['(and' '(if' '(oh)' '1]' '2]' '[bridge]' '[chorus]' '[outro]' '[verse'
 'cares)' 'comes,' 'gone' 'hurry,' 'inside' 'me?' 'oh' 'oh-oh,' 'slowly'
 'to)' 'whoa' 'whoa,']",52,0.15933999999999998,0.07399999999999995,0.16200000000000003,0.00303,0.15400000000000003,0.4530000000000012,0.0038000000000000013,0.009000000000000008,0.32900000000000773,0,0.009985613946009997
"['1]' '2]' '[bridge]' '[chorus]' '[outro]' '[pre-chorus' '[verse' 'high'
 'kiss' 'know,' 'looking' 'on,' 'out,' 'poison' 'right' 'road,' 'would']",60,0.824,0.09500000000000003,0.5329999999999999,0.00043579000000000003,0.14100000000000001,1.9480000000000004,0.011799999999999998,0.36799999999999994,16.959000000000003,0,0.014001349527665297
"['""cool' '""you,' ""'bout"" ""'cause"" ""'em"" '(la' '(ooh,' '(see' '1:' '2:'
 '3:' '5-foot-7' '[bridge:' '[hook' '[interlude:' '[intro:' '[outro:'
 '[verse' 'act' 'always' 'am' 'americana' 'and,' 'as' 'at' 'awake' 'baby,'
 'baddest' 'bay' 'because' 'before' 'bespoke' 'blinger' 'blinking' 'bloke'
 'blud!' 'bredrin' 'broke' 'ca-a-ash' 'café' 'chain' 'chicago,' 'chick'
 'coat,' 'crazy,' 'cute' 'designer?' 'down,' 'drinking' 'estelle'
 'estelle,' 'estelle]' 'everybody' 'eya' 'feel' 'feeling' 'fool'
 'francisco' 'fuck' 'gladdest' 'going' 'guy' 'hear' 'hell' 'holler' 'into'
 'k!""' 'kanye' 'killing' 'know' 'la' 'la)' 'la,' 'liking' 'look' 'lot'
 'loving' 'lyrics,' 'me,' 'might' 'mike' 'mine?' 'most' 'next' 'nothing'
 'now,' 'now.""' 'now?' 'number' 'of' 'once' 'ooh)' 'ooh,' 'oww' 'oww,'
 'pea' ""peakin'"" 'persona' 'pips' 'press' 'rap' 'reluctantly,' 'rhymer?'
 'ribena,' 'rubbish' 'said' 'san' 'say' 'shallow' 'shopping,' 'singer,'
 'smart' 'so' 'soon' 'speak' ""speakin',"" 'spirit' 'still' 'suit' 'their'
 'thought' 'trip' 'uh,' 'uk?' 'underneath' 'wags' 'wagwan,' 'walking'
 'was' 'west]' 'what' 'wide' 'will' 'ya.""' 'yeah,' ""york's"" ""you're""
 '‘cause']",67,0.09960000000000001,0.15100000000000002,0.14500000000000013,0.0,0.039999999999999994,6.095000000000001,0.02300000000000002,0.10899999999999999,0.04099999999999682,1,0.10035679197476599
"[""'cause"" '(oh,' '(ooh,' '-' '1:' '2:' '[bridge:' '[chorus:' '[intro]'
 '[verse' 'alone' 'back' ""doin'"" 'fall,' 'feel,' 'go' 'know' 'life'
 'nico]' 'oh' 'oh)' 'ooh' 'ooh)' 'ooh,' 'prediction' ""sayin'"" 'see)'
 'see,' ""thinkin'"" ""trippin'"" ""tryin'"" 'vinz]' 'walk,' 'yeah,' 'yours,']",39,0.013000000000000012,0.027999999999999914,0.1529999999999999,2.13e-06,0.025999999999999995,1.2060000000000004,0.0255,0.15700000000000003,0.06499999999999773,0,0.05150729080690167
"['(a' '(fall)' '1]' '2]' '[bridge]' '[chorus]' '[outro]' '[verse' 'all?'
 'be?' ""dreamin',"" 'has' ""it's"" 'like)' 'me?' 'moment...' 'oh,' 'tender,'
 'till' 'well,']",51,0.541,0.008000000000000063,0.25700000000000006,0.0,0.008000000000000007,7.389,0.0036999999999999984,0.11399999999999996,69.984,0,0.013539445628997893
"['(angel' '(boy,' '(but' '(came' '(right' '(sent' '(you,' '1]' '2]'
 '[bridge]' '[chorus]' '[interlude]' '[outro]' '[pre-chorus]' '[verse'
 'above)' 'already' 'as' 'at' 'best' 'boy' 'boy,' 'breath' 'came' 'can'
 'changed' 'checking' 'compare' 'deep' 'different' 'each' 'ever' 'every'
 'find,' 'fine,' 'first' 'free' 'gonna' 'grow' 'helped' 'hope' 'how'
 'huh)' ""i'm"" 'if' 'inside' 'inside,' 'into' 'knew' 'last' 'life,' 'look'
 'looking' 'lost' 'love,' 'make' 'mean' 'means' 'mind' 'mine' 'mine)'
 'mine,' 'moment' 'moved' 'need' 'never' 'new' 'night,' 'oh,' 'only'
 'right' 'saw' 'sent' 'share' 'show' 'showed' 'than' 'things' 'this'
 'thought' 'time' 'time)' 'time,' 'uh' 'way' 'we' 'were' 'what' 'whole'
 'why' 'with' 'world' 'would' 'yeah)' 'yeah,' ""you'll"" ""you're"" 'you)']",57,0.50327,0.03599999999999992,0.19700000000000006,3.2299999999999986e-05,0.1267,3.3599999999999994,0.0049999999999999975,0.013000000000000012,0.18999999999999773,0,0.018176254589963275
"['(boy,' '1]' '2]' '[bridge]' '[chorus]' '[interlude]' '[outro]'
 '[pre-chorus]' '[verse' 'boy,' 'checking' 'find,' 'fine,' 'inside,'
 'looking' 'night,' 'oh,' 'take' 'time,' 'yeah,']",57,0.50327,0.03599999999999992,0.19700000000000006,3.2299999999999986e-05,0.1267,3.3599999999999994,0.0049999999999999975,0.013000000000000012,0.18999999999999773,0,0.006643658326143248
"['""hold' '""huh,' '""oh,' '""yo' '&' '12:30' '1:' '2:' '[intro:' '[outro:'
 '[verse' 'after' 'ahh,' 'ahhhhhh!' 'anyway!' 'anyway.""' 'awake' 'bad'
 'bed,' 'behind' 'big' 'block' 'brain""' 'bum' 'burning' 'burnt!""' 'care'
 'clock' 'coke' 'come' 'cuz!""' 'david' 'def' 'downstairs' 'dream'
 'dreamin""' 'drew' 'evening,' 'figured' 'flipped' 'fred!' 'friends'
 'going' 'gone' 'grab' 'ha,' 'haaaa!' 'haaaaa!' 'hell!' 'hello?' 'honest,'
 'hurt!""' 'jazzy' 'juice' 'krueger]' 'kruger]' 'letterman,' 'long!'
 'long,' 'lot' 'man!' 'melted,' ""mornin',"" 'movies' 'nightmare;' 'off,'
 'on,' 'or' 'outside' 'pal,' 'please' 'prince,' 'prince]' 'princey!'
 'ripped' 'rrahhhh!' 'rush' 'shoulder' 'silence!' 'sleep,' 'stopping'
 'street!' 'theater' 'though' 'three' 'turned' 'words' 'you,']",27,0.078,0.06400000000000006,0.004000000000000115,1.46e-06,0.463,1.2560000000000002,0.017999999999999988,0.07500000000000007,0.17500000000001137,0,0.07067510548523206
"['1]' '2]' '[bridge]' '[chorus]' '[verse' 'animals' 'for' 'hush' ""kickin'""
 ""killin'"" 'time']",54,0.000436,0.07000000000000006,0.030000000000000027,4.8e-05,0.020000000000000018,0.6399999999999988,0.008600000000000003,0.1409999999999999,0.006000000000000227,0,0.01964912280701754
"['(that)' '1]' '2]' '[chorus]' '[outro]' '[verse' 'apologize,' 'beat,'
 'blue' 'chance,' 'down' 'late,' 'me,' 'new' 'oh' 'oh,' 'red,' 'rope,'
 'say,' 'sorry,']",62,0.257,0.025999999999999912,0.244,2.22e-05,0.016699999999999993,3.0729999999999995,0.003300000000000001,0.4531,0.07699999999999818,0,0.02127659574468085
"['1]' '2]' '[bridge]' '[chorus]' '[outro]' '[post-chorus]' '[pre-chorus]'
 '[verse' 'applause,' 'applause-plause,' 'art,' 'art’s' 'baby,' 'culture,'
 'geeks”' 'iv' 'koons' 'koons,' 'now...' 'out)' 'overheard' 'saying,'
 'up,' 'vein,' 'woo-oh-oh-oh...' 'woo...' 'wrong?”' '“is' ""“nostalgia's""]",51,0.02038,0.02399999999999991,0.0040000000000000036,1.63e-06,0.035999999999999976,0.7000000000000002,0.0025000000000000022,0.038000000000000034,0.049000000000006594,0,0.027888446215139445
"['(all' ""(don't"" '(no,' '(who' '1]' '2]' '3]' '[bridge]' '[chorus]'
 '[outro]' '[pre-chorus]' '[verse' 'baby,' 'cares?' 'exist' 'here,'
 'lights' 'no)' 'oh-oh-oh' 'oh-oh-oh,' 'out,' 'outside,' 'right,' 'rock,'
 'stop)' 'stop,' 'up?' 'we']",36,0.20375,0.16900000000000004,0.355,0.000192,0.08599999999999997,3.2380000000000004,0.026099999999999998,0.009000000000000119,0.07600000000000762,0,0.016618287373004352
"['1,' '1]' '2,' '2]' '3,' '4,' '5,' '6,' '[bridge]' '[chorus]'
 '[pre-chorus]' '[verse' ""don't"" 'man,' 'oh' 'on' 'said,' 'that' 'uh,'
 'we' 'yeah,']",65,0.00396,0.010000000000000009,0.15899999999999992,3.000000000000008e-05,0.1,4.304,0.045200000000000004,0.1529999999999999,0.4989999999999952,0,0.013422818791946345
"['(are' '(ooh)' '(yeah,' '1]' '2]' '[bridge]' '[chorus]' '[verse' ""c'mon,""
 'erased?' 'ever' ""everything's"" 'eye' 'face?' 'it,' 'no,' 'now?)' 'oh'
 'oh,' 'replaced?' 'want?' 'yeah)' 'yourself']",41,0.009500000000000001,0.01100000000000001,0.19300000000000006,0.00143,0.015400000000000011,2.425,0.007800000000000001,0.2290000000000001,0.07499999999998863,0,0.0208158116063919
"['""what\'s' '1:' '2:' '3:' '[chorus:' '[intro:' '[outro:' '[verse' 'baby,'
 'bieber]' 'big' 'cause' 'everyday' 'face,' 'girl,' 'god' 'it,' 'justin'
 'limit,' 'man,' 'mean,' 'now,' 'oh' 'out,' 'scene,' 'sean]' 'side?""'
 'take,' 'trust,' 'tryna' 'woah,' 'yeah,']",54,0.0518,0.017000000000000126,0.18599999999999994,0.0,0.18999999999999997,4.580000000000002,0.0452,0.14300000000000002,0.11100000000001842,8,0.031987751473445125
"['(reprise)]' '1' '1]' '2]' '3]' '[bridge]' '[chorus]' '[intro]'
 '[pre-chorus' '[verse' 'ahead' 'cause' 'downtown' ""everything's"" 'fast,'
 'homebound' ""i'll"" ""livin'"" ""makin'"" 'oh,' ""starin'"" ""walkin'"" 'wrong,']",66,0.025000000000000022,0.020999999999999908,0.347,0.0,0.05399999999999999,7.756,0.008200000000000002,0.044999999999999984,0.1629999999999967,0,0.02169378389653733
"['(all' '(dress' '(i' '(oh,' '(one' '(yeah,' '(you' ""(you're"" '[outro]'
 'attention)' 'home' 'karma' 'karma),' 'mine)' 'perfume' 'regret,' 'ya'
 'ya),' 'yeah']",55,0.15100000000000002,0.0,0.118,2.33e-05,0.017000000000000015,0.2790000000000008,0.011699999999999995,0.014000000000000123,0.08300000000001262,0,0.014875713318502761
